anchor_id,partition,event_family,signal_bar_open_utc,decision_available_utc,mode,source_status,source_reason,source,source_as_of_utc,active,filing_count,severity,base_form,category,age_hours,capacity_only,available_at_utc,accession,direction_claim
OPT-LONG-7f7146fc75542cb7:1775568600000,HOLDOUT,ENTRY_FORMING,2026-04-07T13:30:00+00:00,2026-04-07T13:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-7f7146fc75542cb7:1775589300000,HOLDOUT,CONTINUATION,2026-04-07T19:15:00+00:00,2026-04-07T19:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-7f7146fc75542cb7:1775589300000,HOLDOUT,CONTINUATION,2026-04-07T19:15:00+00:00,2026-04-07T19:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-7f7146fc75542cb7:1775655900000,HOLDOUT,RISK_OR_EXHAUSTION,2026-04-08T13:45:00+00:00,2026-04-08T14:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-7f7146fc75542cb7:1775655900000,HOLDOUT,RISK_OR_EXHAUSTION,2026-04-08T13:45:00+00:00,2026-04-08T14:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-7f7146fc75542cb7:1775676600000,HOLDOUT,ENTRY_FORMING,2026-04-08T19:30:00+00:00,2026-04-08T19:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-7f7146fc75542cb7:1775676600000,HOLDOUT,ENTRY_FORMING,2026-04-08T19:30:00+00:00,2026-04-08T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1775589300000,HOLDOUT,CONTINUATION,2026-04-07T19:15:00+00:00,2026-04-07T19:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-535e3b7b512a533a:1775589300000,HOLDOUT,CONTINUATION,2026-04-07T19:15:00+00:00,2026-04-07T19:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1775655900000,HOLDOUT,RISK_OR_EXHAUSTION,2026-04-08T13:45:00+00:00,2026-04-08T14:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-535e3b7b512a533a:1775655900000,HOLDOUT,RISK_OR_EXHAUSTION,2026-04-08T13:45:00+00:00,2026-04-08T14:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1775676600000,HOLDOUT,ENTRY_FORMING,2026-04-08T19:30:00+00:00,2026-04-08T19:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-535e3b7b512a533a:1775676600000,HOLDOUT,ENTRY_FORMING,2026-04-08T19:30:00+00:00,2026-04-08T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1775755800000,HOLDOUT,CONTINUATION,2026-04-09T17:30:00+00:00,2026-04-09T17:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
