signal_bar_open_utc,decision_available_utc,session_date,spot,event_family,events,campaign_health,phase_confidence,weakness_count,partition,anchor_id
2026-02-09T15:15:00+00:00,2026-02-09T15:30:00+00:00,2026-02-09,1.375,THESIS_PRESSURE,FAIL TEST,28.0,11.0,4.0,HOLDOUT,AMC15X-063
2026-02-20T16:00:00+00:00,2026-02-20T16:15:00+00:00,2026-02-20,1.205,THESIS_PRESSURE,FAIL TEST,2.0,0.0,9.0,HOLDOUT,AMC15X-064
2026-03-05T14:30:00+00:00,2026-03-05T14:45:00+00:00,2026-03-05,1.2,ENTRY_FORMING,STRONG START,88.0,62.0,0.0,HOLDOUT,AMC15X-065
2026-03-30T16:30:00+00:00,2026-03-30T16:45:00+00:00,2026-03-30,1.055,RISK_OR_EXHAUSTION,MANAGE,86.0,55.0,0.0,HOLDOUT,AMC15X-066
2026-03-31T16:45:00+00:00,2026-03-31T17:00:00+00:00,2026-03-31,1.0299,ENTRY_FORMING,STRONG START,96.0,65.0,0.0,HOLDOUT,AMC15X-067
2026-04-08T13:45:00+00:00,2026-04-08T14:00:00+00:00,2026-04-08,1.3323,RISK_OR_EXHAUSTION,MANAGE,95.0,68.0,0.0,HOLDOUT,AMC15X-068
2026-04-14T19:45:00+00:00,2026-04-14T20:00:00+00:00,2026-04-14,1.5363,ENTRY_FORMING,IGNITION,100.0,82.0,0.0,HOLDOUT,AMC15X-069
2026-04-15T15:30:00+00:00,2026-04-15T15:45:00+00:00,2026-04-15,1.58,CONTINUATION,ADD,100.0,80.0,0.0,HOLDOUT,AMC15X-070
2026-04-21T15:15:00+00:00,2026-04-21T15:30:00+00:00,2026-04-21,1.68,THESIS_PRESSURE,FAIL TEST,14.0,0.0,8.0,HOLDOUT,AMC15X-071
2026-04-29T15:45:00+00:00,2026-04-29T16:00:00+00:00,2026-04-29,1.53,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,HOLDOUT,AMC15X-072
2026-04-29T17:45:00+00:00,2026-04-29T18:00:00+00:00,2026-04-29,1.5599,CONTINUATION,RELOAD,2.0,16.0,0.0,HOLDOUT,AMC15X-073
2026-05-05T18:45:00+00:00,2026-05-05T19:00:00+00:00,2026-05-05,1.6197,RISK_OR_EXHAUSTION,MANAGE,81.0,51.0,0.0,HOLDOUT,AMC15X-074
2026-05-14T16:00:00+00:00,2026-05-14T16:15:00+00:00,2026-05-14,1.375,ENTRY_FORMING,STRONG START,88.0,58.0,0.0,HOLDOUT,AMC15X-075
2026-05-21T19:45:00+00:00,2026-05-21T20:00:00+00:00,2026-05-21,1.56,ENTRY_FORMING,IGNITION,100.0,67.0,0.0,HOLDOUT,AMC15X-076
2026-05-26T17:00:00+00:00,2026-05-26T17:15:00+00:00,2026-05-26,1.5272,THESIS_PRESSURE,FAIL (any severity),7.0,0.0,9.0,HOLDOUT,AMC15X-077
2026-05-29T18:45:00+00:00,2026-05-29T19:00:00+00:00,2026-05-29,1.748,CONTINUATION,ADD,92.0,74.0,0.0,HOLDOUT,AMC15X-078
2026-06-01T18:00:00+00:00,2026-06-01T18:15:00+00:00,2026-06-01,2.0254,RISK_OR_EXHAUSTION,PEAK,96.0,79.0,0.0,HOLDOUT,AMC15X-079
2026-06-11T13:45:00+00:00,2026-06-11T14:00:00+00:00,2026-06-11,2.24,RISK_OR_EXHAUSTION,MANAGE|PEAK,95.0,83.0,0.0,HOLDOUT,AMC15X-080
2026-06-16T18:00:00+00:00,2026-06-16T18:15:00+00:00,2026-06-16,2.465,CONTINUATION,ADD,98.0,75.0,0.0,HOLDOUT,AMC15X-081
2026-06-18T15:00:00+00:00,2026-06-18T15:15:00+00:00,2026-06-18,2.825,RISK_OR_EXHAUSTION,PEAK,85.0,75.0,2.0,HOLDOUT,AMC15X-082
2026-06-29T19:00:00+00:00,2026-06-29T19:15:00+00:00,2026-06-29,2.105,ENTRY_FORMING,STRONG START,96.0,61.0,0.0,HOLDOUT,AMC15X-083
2026-06-30T16:15:00+00:00,2026-06-30T16:30:00+00:00,2026-06-30,1.965,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,HOLDOUT,AMC15X-084
2026-07-08T16:45:00+00:00,2026-07-08T17:00:00+00:00,2026-07-08,1.885,RISK_OR_EXHAUSTION,MANAGE,77.0,48.0,0.0,HOLDOUT,AMC15X-085
2026-07-15T19:45:00+00:00,2026-07-15T20:00:00+00:00,2026-07-15,2.07,CONTINUATION,ADD,95.0,75.0,0.0,HOLDOUT,AMC15X-086
2026-07-17T18:15:00+00:00,2026-07-17T18:30:00+00:00,2026-07-17,1.94,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,20.0,HOLDOUT,AMC15X-087
2026-07-27T13:30:00+00:00,2026-07-27T13:45:00+00:00,2026-07-27,2.345,CONTINUATION,ADD,95.0,77.0,0.0,HOLDOUT,AMC15X-088
2026-07-28T19:00:00+00:00,2026-07-28T19:15:00+00:00,2026-07-28,2.7339,RISK_OR_EXHAUSTION,MANAGE|PEAK,99.0,89.0,0.0,HOLDOUT,AMC15X-089
2026-08-07T19:45:00+00:00,2026-08-07T20:00:00+00:00,2026-08-07,2.58,ENTRY_FORMING,STRONG START,80.0,55.0,0.0,HOLDOUT,AMC15X-090
2026-08-11T13:45:00+00:00,2026-08-11T14:00:00+00:00,2026-08-11,2.4672,CONTINUATION,RELOAD,19.0,28.0,0.0,HOLDOUT,AMC15X-091
2026-08-11T17:00:00+00:00,2026-08-11T17:15:00+00:00,2026-08-11,2.42,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,HOLDOUT,AMC15X-092
