signal_bar_open_utc,decision_available_utc,session_date,spot,event_family,events,campaign_health,phase_confidence,weakness_count,partition,anchor_id,ticker,contract_type,strike,expiration,dte,moneyness_pct,dte_target,moneyness_target,bar_count,bars_file,cached
2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30,4.89,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,AMC15-003,O:AMC240913P00005000,PUT,5.0,2024-09-13,14,2.2000000000000064,14,0.0,312,bars/O_AMC240913P00005000.json,False
2024-08-30T18:00:00+00:00,2024-08-30T18:15:00+00:00,2024-08-30,4.89,ENTRY_FORMING,STRONG START,82.0,54.0,0.0,DISCOVERY,AMC15-003,O:AMC240927P00005000,PUT,5.0,2024-09-27,28,2.2000000000000064,30,0.0,235,bars/O_AMC240927P00005000.json,True
2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,2024-09-03,4.8018,THESIS_PRESSURE,FAIL TEST,3.0,0.0,9.0,DISCOVERY,AMC15-004,O:AMC240920C00005000,CALL,5.0,2024-09-20,17,-3.9639999999999986,14,0.0,507,bars/O_AMC240920C00005000.json,True
2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,2024-09-03,4.8018,THESIS_PRESSURE,FAIL TEST,3.0,0.0,9.0,DISCOVERY,AMC15-004,O:AMC241004C00005000,CALL,5.0,2024-10-04,31,-3.9639999999999986,30,0.0,391,bars/O_AMC241004C00005000.json,False
2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,2024-09-03,4.8018,THESIS_PRESSURE,FAIL TEST,3.0,0.0,9.0,DISCOVERY,AMC15-004,O:AMC240920P00005000,PUT,5.0,2024-09-20,17,3.9639999999999986,14,0.0,358,bars/O_AMC240920P00005000.json,True
2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,2024-09-03,4.8018,THESIS_PRESSURE,FAIL TEST,3.0,0.0,9.0,DISCOVERY,AMC15-004,O:AMC241004P00005000,PUT,5.0,2024-10-04,31,3.9639999999999986,30,0.0,193,bars/O_AMC241004P00005000.json,False
2026-01-23T17:30:00+00:00,2026-01-23T17:45:00+00:00,2026-01-23,1.59,THESIS_PRESSURE,FAIL (any severity),1.0,0.0,11.0,DISCOVERY,AMC15-008,O:AMC260206C00001500,CALL,1.5,2026-02-06,14,6.000000000000005,14,0.0,344,bars/O_AMC260206C00001500.json,False
2026-01-23T17:30:00+00:00,2026-01-23T17:45:00+00:00,2026-01-23,1.59,THESIS_PRESSURE,FAIL (any severity),1.0,0.0,11.0,DISCOVERY,AMC15-008,O:AMC260220C00001500,CALL,1.5,2026-02-20,28,6.000000000000005,30,0.0,477,bars/O_AMC260220C00001500.json,False
2026-01-23T17:30:00+00:00,2026-01-23T17:45:00+00:00,2026-01-23,1.59,THESIS_PRESSURE,FAIL (any severity),1.0,0.0,11.0,DISCOVERY,AMC15-008,O:AMC260206P00001500,PUT,1.5,2026-02-06,14,-6.000000000000005,14,0.0,280,bars/O_AMC260206P00001500.json,False
2026-01-23T17:30:00+00:00,2026-01-23T17:45:00+00:00,2026-01-23,1.59,THESIS_PRESSURE,FAIL (any severity),1.0,0.0,11.0,DISCOVERY,AMC15-008,O:AMC260220P00001500,PUT,1.5,2026-02-20,28,-6.000000000000005,30,0.0,278,bars/O_AMC260220P00001500.json,False
2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06,1.4399,ENTRY_FORMING,STRONG START,81.0,53.0,0.0,HOLDOUT,AMC15-009,O:AMC260220C00001500,CALL,1.5,2026-02-20,14,-4.0066666666666695,14,0.0,477,bars/O_AMC260220C00001500.json,True
2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06,1.4399,ENTRY_FORMING,STRONG START,81.0,53.0,0.0,HOLDOUT,AMC15-009,O:AMC260306C00001500,CALL,1.5,2026-03-06,28,-4.0066666666666695,30,0.0,385,bars/O_AMC260306C00001500.json,False
2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06,1.4399,ENTRY_FORMING,STRONG START,81.0,53.0,0.0,HOLDOUT,AMC15-009,O:AMC260220P00001500,PUT,1.5,2026-02-20,14,4.0066666666666695,14,0.0,278,bars/O_AMC260220P00001500.json,True
2026-02-06T14:45:00+00:00,2026-02-06T15:00:00+00:00,2026-02-06,1.4399,ENTRY_FORMING,STRONG START,81.0,53.0,0.0,HOLDOUT,AMC15-009,O:AMC260306P00001500,PUT,1.5,2026-03-06,28,4.0066666666666695,30,0.0,116,bars/O_AMC260306P00001500.json,False
2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06,1.4765,CONTINUATION,ADD,92.0,64.0,0.0,HOLDOUT,AMC15-010,O:AMC260220C00001500,CALL,1.5,2026-02-20,14,-1.5666666666666718,14,0.0,477,bars/O_AMC260220C00001500.json,True
2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06,1.4765,CONTINUATION,ADD,92.0,64.0,0.0,HOLDOUT,AMC15-010,O:AMC260306C00001500,CALL,1.5,2026-03-06,28,-1.5666666666666718,30,0.0,385,bars/O_AMC260306C00001500.json,True
2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06,1.4765,CONTINUATION,ADD,92.0,64.0,0.0,HOLDOUT,AMC15-010,O:AMC260220P00001500,PUT,1.5,2026-02-20,14,1.5666666666666718,14,0.0,278,bars/O_AMC260220P00001500.json,True
2026-02-06T17:15:00+00:00,2026-02-06T17:30:00+00:00,2026-02-06,1.4765,CONTINUATION,ADD,92.0,64.0,0.0,HOLDOUT,AMC15-010,O:AMC260306P00001500,PUT,1.5,2026-03-06,28,1.5666666666666718,30,0.0,116,bars/O_AMC260306P00001500.json,True
2026-03-30T16:30:00+00:00,2026-03-30T16:45:00+00:00,2026-03-30,1.055,RISK_OR_EXHAUSTION,MANAGE,86.0,55.0,0.0,HOLDOUT,AMC15-012,O:AMC260410C00001000,CALL,1.0,2026-04-10,11,5.499999999999994,14,0.0,312,bars/O_AMC260410C00001000.json,False
2026-03-30T16:30:00+00:00,2026-03-30T16:45:00+00:00,2026-03-30,1.055,RISK_OR_EXHAUSTION,MANAGE,86.0,55.0,0.0,HOLDOUT,AMC15-012,O:AMC260501C00001000,CALL,1.0,2026-05-01,32,5.499999999999994,30,0.0,299,bars/O_AMC260501C00001000.json,False
2026-03-30T16:30:00+00:00,2026-03-30T16:45:00+00:00,2026-03-30,1.055,RISK_OR_EXHAUSTION,MANAGE,86.0,55.0,0.0,HOLDOUT,AMC15-012,O:AMC260410P00001000,PUT,1.0,2026-04-10,11,-5.499999999999994,14,0.0,173,bars/O_AMC260410P00001000.json,False
2026-03-30T16:30:00+00:00,2026-03-30T16:45:00+00:00,2026-03-30,1.055,RISK_OR_EXHAUSTION,MANAGE,86.0,55.0,0.0,HOLDOUT,AMC15-012,O:AMC260501P00001000,PUT,1.0,2026-05-01,32,-5.499999999999994,30,0.0,126,bars/O_AMC260501P00001000.json,False
2026-08-07T19:45:00+00:00,2026-08-07T20:00:00+00:00,2026-08-07,2.58,ENTRY_FORMING,STRONG START,80.0,55.0,0.0,HOLDOUT,AMC15-014,O:AMC260821C00002500,CALL,2.5,2026-08-21,14,3.200000000000003,14,0.0,255,bars/O_AMC260821C00002500.json,False
2026-08-07T19:45:00+00:00,2026-08-07T20:00:00+00:00,2026-08-07,2.58,ENTRY_FORMING,STRONG START,80.0,55.0,0.0,HOLDOUT,AMC15-014,O:AMC260904C00002500,CALL,2.5,2026-09-04,28,3.200000000000003,30,0.0,69,bars/O_AMC260904C00002500.json,False
2026-08-07T19:45:00+00:00,2026-08-07T20:00:00+00:00,2026-08-07,2.58,ENTRY_FORMING,STRONG START,80.0,55.0,0.0,HOLDOUT,AMC15-014,O:AMC260821P00002500,PUT,2.5,2026-08-21,14,-3.200000000000003,14,0.0,250,bars/O_AMC260821P00002500.json,False
2026-08-07T19:45:00+00:00,2026-08-07T20:00:00+00:00,2026-08-07,2.58,ENTRY_FORMING,STRONG START,80.0,55.0,0.0,HOLDOUT,AMC15-014,O:AMC260904P00002500,PUT,2.5,2026-09-04,28,-3.200000000000003,30,0.0,41,bars/O_AMC260904P00002500.json,False
2026-08-11T13:45:00+00:00,2026-08-11T14:00:00+00:00,2026-08-11,2.4672,CONTINUATION,RELOAD,19.0,28.0,0.0,HOLDOUT,AMC15-015,O:AMC260828C00002500,CALL,2.5,2026-08-28,17,-1.3119999999999976,14,0.0,92,bars/O_AMC260828C00002500.json,False
2026-08-11T13:45:00+00:00,2026-08-11T14:00:00+00:00,2026-08-11,2.4672,CONTINUATION,RELOAD,19.0,28.0,0.0,HOLDOUT,AMC15-015,O:AMC260911C00002500,CALL,2.5,2026-09-11,31,-1.3119999999999976,30,0.0,50,bars/O_AMC260911C00002500.json,False
2026-08-11T13:45:00+00:00,2026-08-11T14:00:00+00:00,2026-08-11,2.4672,CONTINUATION,RELOAD,19.0,28.0,0.0,HOLDOUT,AMC15-015,O:AMC260828P00002500,PUT,2.5,2026-08-28,17,1.3119999999999976,14,0.0,41,bars/O_AMC260828P00002500.json,False
2026-08-11T13:45:00+00:00,2026-08-11T14:00:00+00:00,2026-08-11,2.4672,CONTINUATION,RELOAD,19.0,28.0,0.0,HOLDOUT,AMC15-015,O:AMC260911P00002500,PUT,2.5,2026-09-11,31,1.3119999999999976,30,0.0,10,bars/O_AMC260911P00002500.json,False
2026-08-11T17:00:00+00:00,2026-08-11T17:15:00+00:00,2026-08-11,2.42,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,HOLDOUT,AMC15-016,O:AMC260828C00002500,CALL,2.5,2026-08-28,17,-3.200000000000003,14,0.0,92,bars/O_AMC260828C00002500.json,True
2026-08-11T17:00:00+00:00,2026-08-11T17:15:00+00:00,2026-08-11,2.42,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,HOLDOUT,AMC15-016,O:AMC260911C00002500,CALL,2.5,2026-09-11,31,-3.200000000000003,30,0.0,50,bars/O_AMC260911C00002500.json,True
2026-08-11T17:00:00+00:00,2026-08-11T17:15:00+00:00,2026-08-11,2.42,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,HOLDOUT,AMC15-016,O:AMC260828P00002500,PUT,2.5,2026-08-28,17,3.200000000000003,14,0.0,41,bars/O_AMC260828P00002500.json,True
2026-08-11T17:00:00+00:00,2026-08-11T17:15:00+00:00,2026-08-11,2.42,THESIS_PRESSURE,FAIL (any severity),0.0,0.0,13.0,HOLDOUT,AMC15-016,O:AMC260911P00002500,PUT,2.5,2026-09-11,31,3.200000000000003,30,0.0,10,bars/O_AMC260911P00002500.json,True
