anchor_id,ticker,contract_type,strike,expiration,dte_target,moneyness_target,partition,event_family,decision_available_utc,signal_bar_open_utc,coverage_before,coverage_at,coverage_after,left_censored,signal_bar_exists,bar_count,moneyness_pct,dte,outcome_status,right_censored,observed_bars,decision_close,next_bar_open,decision_to_next_open_gap_pct,mfe_pct,mae_pct,terminal_return_pct,bars_to_peak,bars_to_trough,peak_to_terminal_giveback_pct,gain_retention,decision_close_mfe_pct,decision_close_mae_pct,peak_before_trough
AMC15-014,O:AMC260821P00002500,PUT,2.5,2026-08-21,14,0.0,HOLDOUT,ENTRY_FORMING,2026-08-07T20:00:00+00:00,2026-08-07T19:45:00+00:00,150,1,49,False,True,250,-3.200000000000003,14,SCORED_RIGHT_CENSORED,True,99,0.15,0.09,-40.0,144.44444444444446,-22.22222222222221,-22.22222222222221,7,76,-68.18181818181817,-0.15384615384615374,46.66666666666668,-53.33333333333332,True
AMC15-014,O:AMC260904P00002500,PUT,2.5,2026-09-04,30,0.0,HOLDOUT,ENTRY_FORMING,2026-08-07T20:00:00+00:00,2026-08-07T19:45:00+00:00,5,0,21,False,False,41,-3.200000000000003,28,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-015,O:AMC260828C00002500,CALL,2.5,2026-08-28,14,0.0,HOLDOUT,CONTINUATION,2026-08-11T14:00:00+00:00,2026-08-11T13:45:00+00:00,30,1,16,False,True,92,-1.3119999999999976,17,SCORED_RIGHT_CENSORED,True,61,0.2,0.2,0.0,44.99999999999997,-29.999999999999993,9.999999999999986,43,13,-24.13793103448275,0.22222222222222204,44.99999999999997,-29.999999999999993,False
AMC15-015,O:AMC260911C00002500,CALL,2.5,2026-09-11,30,0.0,HOLDOUT,CONTINUATION,2026-08-11T14:00:00+00:00,2026-08-11T13:45:00+00:00,21,1,5,False,True,50,-1.3119999999999976,31,SCORED_RIGHT_CENSORED,True,28,0.25,0.29,15.999999999999993,20.68965517241379,-27.586206896551722,6.896551724137945,16,3,-11.428571428571422,0.33333333333333404,39.99999999999999,-16.000000000000004,False
AMC15-015,O:AMC260828P00002500,PUT,2.5,2026-08-28,14,0.0,HOLDOUT,CONTINUATION,2026-08-11T14:00:00+00:00,2026-08-11T13:45:00+00:00,17,0,5,False,False,41,1.3119999999999976,17,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-015,O:AMC260911P00002500,PUT,2.5,2026-09-11,30,0.0,HOLDOUT,CONTINUATION,2026-08-11T14:00:00+00:00,2026-08-11T13:45:00+00:00,7,0,2,False,False,10,1.3119999999999976,31,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-016,O:AMC260828C00002500,CALL,2.5,2026-08-28,14,0.0,HOLDOUT,THESIS_PRESSURE,2026-08-11T17:15:00+00:00,2026-08-11T17:00:00+00:00,38,1,8,False,True,92,-3.200000000000003,17,SCORED_RIGHT_CENSORED,True,53,0.16,0.16,0.0,81.24999999999997,-12.49999999999999,37.5,35,5,-24.13793103448275,0.4615384615384617,81.24999999999997,-12.49999999999999,False
AMC15-016,O:AMC260911C00002500,CALL,2.5,2026-09-11,30,0.0,HOLDOUT,THESIS_PRESSURE,2026-08-11T17:15:00+00:00,2026-08-11T17:00:00+00:00,26,0,1,False,False,50,-3.200000000000003,31,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
AMC15-016,O:AMC260828P00002500,PUT,2.5,2026-08-28,14,0.0,HOLDOUT,THESIS_PRESSURE,2026-08-11T17:15:00+00:00,2026-08-11T17:00:00+00:00,18,1,3,False,True,41,3.200000000000003,17,SCORED_RIGHT_CENSORED,True,22,0.23,0.24,4.347826086956519,8.333333333333348,-58.33333333333333,-54.166666666666664,5,17,-57.692307692307686,-6.4999999999999885,13.043478260869556,-56.52173913043479,True
AMC15-016,O:AMC260911P00002500,PUT,2.5,2026-09-11,30,0.0,HOLDOUT,THESIS_PRESSURE,2026-08-11T17:15:00+00:00,2026-08-11T17:00:00+00:00,9,0,0,False,False,10,3.200000000000003,31,UNSCORED_SIGNAL_BAR_ABSENT,,0,,,,,,,,,,,,,
